1,Nose
2,Neck
3,RShoulder
4,RElbow
5,RWrist
6,LShoulder
7,LElbow
8,LWrist
9,MidHip
10,RHip
11,RKnee
12,RAnkle
13,LHip
14,LKnee
15,LAnkle
16,REye
17,LEye
18,REar
19,LEar
20,LBigToe
21,LSmallToe
22,LHeel
23,RBigToe
24,RSmallToe
25,RHeel
